Atributo,Puntaje_F,p_value
Satisfaccion,23.118656758012836,2.542222060486808e-06
QuejasUltimos6M,19.805203351603534,1.2586739920349237e-05
Segmento,13.059031337090866,0.0003603828626012255
CuponesUsados,5.143341452257192,0.024131886607338324
ZonaResidencia_Urbana,4.912847754380933,0.027497488943284618
Edad,3.2632061603429063,0.07197214753240597
DiasDesdeUltimaCompra,3.1687403678570383,0.07619325827013025
ZonaResidencia_Rural,2.4857799185636904,0.11605903136356813
ComprasUltimos12M,2.328095366498188,0.12823649292247738
CantidadCompras,2.1903338376227657,0.1400537624423668
ZonaResidencia_Periurbana,1.4468728313451291,0.23009197247630153
AntiguedadMeses,1.1795088766218431,0.27843189418484227
IngresoMensual,1.1765840500870943,0.2790273131469224
Ciudad_Cartagena,0.46866316564098154,0.4941944157388103
VisitasWebUltimoMes,0.4107953137819248,0.5221137949165255
CodigoCampania_E,0.31340956340956433,0.5760630439186867
Ciudad_Bogotá,0.2670979980767478,0.6057113584185372
Ciudad_Cali,0.25975257936910945,0.6107096099591054
CanalPreferido_Web,0.2515598688811727,0.6163906174794159
CodigoCampania_F,0.22892884624887833,0.6327093022237568
CanalPreferido_Tienda física,0.19339714554009785,0.6604585376866109
Ciudad_Medellín,0.17402597402597317,0.6768922740222282
CodigoCampania_C,0.1528557331754489,0.6961317464162194
CanalPreferido_Redes sociales,0.07860942611925326,0.7794070950004762
Ciudad_Barranquilla,0.07111169588720435,0.7899300429043388
CanalPreferido_Referido,0.05785007917301804,0.8101107093939929
CodigoCampania_D,0.055796138326957054,0.8134485461772036
CodigoCampania_A,0.009401034815396581,0.9228314756529956
CodigoCampania_B,0.008169301132760461,0.9280494365655971
TiempoPromedioSesionMin,0.0001614405410516832,0.9898718643300385
